Comment,Designator,Footprint,LCSC,Quantity
4k7,R9,R_0402_1005Metric,C105870,1
5k1,"R3,R4",R_0402_1005Metric,C105872,2
10u,C2,C_0805_2012Metric,C15850,1
HRO-TYPE-C-31-M-12,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
Debug,J2,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,C265102,1
1u,C1,C_0805_2012Metric,C28323,1
LED,D1,LED_0805_2012Metric,C2971980,1
100n,"C3,C7",C_0402_1005Metric,C307331,2
Legacy debug,J1,PinHeader_2x03_P2.00mm_Vertical_SMD,C32713241,1
"Polyfuse 1,8A",F1,Fuse_1206_3216Metric,C70081,1
USBLC6-2SC6,U3,SOT-23-6,C7519,1
750R,R12,R_0402_1005Metric,C881134,1
Interface_USB_CP2102N-A01-GQFN28,U6,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C964632,1
ESD9B3.3ST5G,"D3,D4,D5",D_SOD-923,C96512,3
